10
#n ret_pricer	reprints	num_reprints	gifts	distrib_novelty	tot_points_sale	tot_points_sale_1st_year	weeks_sale	print_run	 total_sales
   11.54	2	24	7	470	143	139	60	874	429
   11.54	1	100	6	440	150	128	107	900	437
   11.54	3	1215	0	242	167	103	138	1245	752
   11.54	3	110	6	517	188	149	110	1010	766
   11.54	7	964	0	456	143	100	137	994	822
   16.35	4	71	0	76	51	27	138	76	34
   14.42	1	43	0	65	33	26	137	73	40
   17.31	0	0	7	201	89	88	76	300	167
   17.31	0	0	6	363	113	102	109	800	167
   17.31	1	352	0	198	89	46	137	372	186
   17.31	0	0	8	321	130	129	59	500	294
   14.42	0	0	7	301	126	117	135	450	387
   16.35	1	21	0	43	31	21	134	51	1
   18.27	0	0	0	48	37	25	132	63	2
   16.35	0	0	0	37	27	21	133	57	4
   14.42	2	20	0	10	6	0	123	30	4
   15.38	1	49	0	67	43	30	137	79	5
   15.38	1	38	0	46	32	24	127	68	5
   12.50	1	18	0	10	12	9	115	48	6
   16.35	1	36	0	26	26	15	135	46	6
   16.35	1	19	0	14	10	5	132	29	6
   14.42	1	56	0	58	32	23	129	86	7
   16.35	1	62	0	50	26	19	133	92	8
   16.35	1	197	0	118	83	57	136	227	9
   12.50	1	58	0	46	22	16	126	88	9
   17.31	1	27	0	52	36	20	126	57	10
   15.38	1	4	0	10	10	6	129	24	11
   12.50	1	100	0	50	35	23	135	154	13
   15.38	1	33	0	39	22	16	132	43	13
   15.38	1	35	0	55	37	22	128	65	14
   19.23	1	41	0	55	31	18	134	71	14
   14.42	1	37	0	55	31	25	133	67	16
   19.23	1	21	0	26	20	12	134	51	17
   15.38	1	29	0	28	25	17	123	39	17
   17.31	1	73	0	54	30	18	134	103	20
   18.27	1	33	0	43	29	21	136	63	20
   11.54	1	51	0	79	38	0	127	81	23
   17.31	1	56	0	56	29	17	134	86	23
   15.38	4	47	0	25	19	10	132	57	23
   17.31	1	74	0	69	42	20	135	104	25
   15.38	1	28	0	38	22	10	124	38	25
   17.31	1	21	0	50	37	28	129	51	26
   16.35	2	70	0	67	28	19	131	70	26
   13.46	0	0	0	54	28	20	134	89	29
   17.31	2	780	0	110	70	55	137	810	30
   13.46	1	55	0	57	35	0	136	85	31
   15.38	1	162	0	85	48	37	136	192	32
   17.31	1	64	0	72	46	29	136	94	32
   16.35	1	38	0	22	21	9	129	48	33
   17.31	1	56	0	63	35	29	129	86	35
   18.27	2	57	0	57	40	23	137	87	37
   16.35	2	85	0	96	31	24	135	115	39
   17.31	0	0	0	94	61	45	134	190	40
   18.27	1	68	0	80	51	18	137	98	42
   14.42	3	56	0	62	33	21	132	86	43
   16.35	1	37	0	65	37	23	136	87	44
   16.35	5	67	0	46	36	21	137	77	47
   17.31	2	44	0	58	40	25	134	74	47
   16.35	2	68	0	81	46	30	136	98	48
   15.38	7	48	0	47	24	14	138	78	49
   20.19	1	51	0	79	48	28	134	89	50
   16.35	5	85	0	52	41	34	134	92	52
   16.35	4	52	0	38	32	14	131	72	53
   15.38	2	50	0	57	40	30	136	80	55
   16.35	3	35	0	24	22	15	135	65	56
   18.27	1	61	0	90	65	47	138	90	64
   15.38	4	67	0	66	34	23	135	97	64
   17.31	1	64	0	66	44	31	134	86	65
   27.88	5	70	0	58	44	27	137	100	68
   15.38	2	52	0	47	31	21	135	96	69
   15.38	0	0	6	261	73	68	114	600	70
   16.35	1	86	0	81	54	35	129	116	70
   21.15	4	71	0	69	44	39	135	101	70
   16.35	5	75	0	63	44	30	131	105	72
   16.35	0	0	6	243	76	68	126	600	73
   16.35	1	402	0	94	62	39	135	432	74
   12.13	5	53	0	47	27	21	124	83	76
   19.23	6	106	0	50	38	23	134	136	87
   16.35	6	76	0	51	46	33	137	106	89
   16.35	4	102	0	97	62	23	133	132	92
   16.35	3	104	0	99	54	37	135	134	99
   12.50	5	60	0	83	52	36	135	154	109
   15.87	1	550	0	64	28	16	136	580	110
   16.35	0	0	6	314	130	119	114	645	114
   15.38	0	0	6	225	92	80	133	400	116
   14.42	0	0	8	328	126	124	54	700	120
   15.87	1	572	0	64	28	15	137	602	122
   17.31	1	222	0	136	92	65	137	252	129
   13.46	1	684	0	126	94	63	137	714	131
   16.35	0	0	6	254	96	93	116	400	139
   15.38	1	232	0	106	66	45	135	262	139
   19.23	0	0	6	289	115	103	128	450	142
   16.35	5	365	0	222	102	84	135	395	145
   18.27	0	0	8	285	108	105	66	500	159
   13.46	0	0	6	312	110	96	137	600	166
   15.38	0	0	6	388	106	98	139	750	174
   15.38	0	0	6	321	97	91	120	600	175
   16.35	0	0	6	326	113	100	117	600	177
   16.35	0	0	7	661	168	161	93	1500	200
   16.35	0	0	6	258	98	86	130	350	223
   17.31	0	0	7	418	170	168	79	600	227
   16.35	0	0	6	432	132	125	117	900	242
   15.38	0	0	7	566	141	139	67	1500	244
   17.31	0	0	7	503	164	160	85	700	254
   14.42	0	0	7	561	128	126	63	1200	269
   11.54	2	831	0	194	125	79	137	851	278
   15.38	0	0	6	232	90	75	118	400	284
   18.27	0	0	7	408	155	153	82	600	302
   16.35	0	0	8	598	125	116	98	700	328
   12.50	0	0	7	564	143	138	81	1300	330
   17.31	0	0	8	492	161	159	59	800	348
   17.31	0	0	7	313	127	125	67	450	353
   17.31	0	0	7	358	125	118	94	700	382
   18.27	0	0	7	581	156	147	91	1200	385
   19.23	0	0	6	530	188	176	132	700	388
   15.38	0	0	6	682	153	130	116	1600	396
   13.46	0	0	7	735	194	182	89	1500	397
   13.46	0	0	7	420	135	126	65	850	402
   15.38	2	30	7	409	159	142	134	630	404
   24.04	0	0	7	450	162	152	84	850	409
   11.54	0	0	6	608	161	153	103	1400	419
   16.35	0	0	8	613	161	137	110	1300	443
   21.15	0	0	7	600	157	136	139	1300	447
   13.46	3	45	7	643	188	160	78	1545	455
   15.38	0	0	6	386	149	131	120	600	457
   15.38	1	700	7	382	134	118	133	1400	470
   18.27	0	0	6	603	218	200	116	900	501
   16.35	0	0	7	517	170	162	88	750	502
   13.46	0	0	7	532	197	192	67	750	516
   17.31	0	0	9	590	143	132	81	1500	545
